{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_outputsize_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_outputsize_2': 64, 'dropout_p': 0.2, 'seed': 4, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.001, 'max_iter': 100, 'DataSet': 'KDD', 'day': 7, 'future_day': 23, 'seq_length': 7, 'is_pre_process': False, 'miniData': False, 'data_dilution_ratio': 1.0, 'LossFun': 'MSE', 'cuda': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'input_size': 7, 'day_numpy_train': array([23219,  6088,  3385,  2428,  1947,  1622,  1333,  1032,   853,
         626,   502,   369,   296,   207,   138,    92,    74,    64,
          34,    26,    23,    14,     8,    16])}
               valid loss 17.023641  auc  0.7711  rmse  0.1139  df(ActivateDay.Avg) 0.0138
     train: epoch 45 loss 0.571096  auc  0.7636  rmse  0.1148  df(ActivateDay.Avg) 0.0426
               valid loss 17.361475  auc  0.7718  rmse  0.1141  df(ActivateDay.Avg) 0.0683
     train: epoch 46 loss 0.572167  auc  0.7625  rmse  0.1149  df(ActivateDay.Avg) 0.0438
               valid loss 16.380722  auc  0.7701  rmse  0.1141  df(ActivateDay.Avg) 0.0835
     train: epoch 47 loss 0.571677  auc  0.7630  rmse  0.1148  df(ActivateDay.Avg) 0.0420
               valid loss 16.479469  auc  0.7708  rmse  0.1138  df(ActivateDay.Avg) 0.0626
     train: epoch 48 loss 0.571931  auc  0.7619  rmse  0.1149  df(ActivateDay.Avg) 0.0428
               valid loss 16.692778  auc  0.7707  rmse  0.1138  df(ActivateDay.Avg) 0.0309
     train: epoch 49 loss 0.572156  auc  0.7620  rmse  0.1149  df(ActivateDay.Avg) 0.0436
               valid loss 16.597107  auc  0.7714  rmse  0.1138  df(ActivateDay.Avg) 0.0436
     train: epoch 50 loss 0.570803  auc  0.7638  rmse  0.1148  df(ActivateDay.Avg) 0.0430
               valid loss 16.415488  auc  0.7712  rmse  0.1139  df(ActivateDay.Avg) 0.0727
     train: epoch 51 loss 0.572407  auc  0.7614  rmse  0.1149  df(ActivateDay.Avg) 0.0420
               valid loss 16.110714  auc  0.7725  rmse  0.1140  df(ActivateDay.Avg) 0.1147
     train: epoch 52 loss 0.572936  auc  0.7621  rmse  0.1150  df(ActivateDay.Avg) 0.0431
               valid loss 16.639659  auc  0.7709  rmse  0.1139  df(ActivateDay.Avg) 0.0466
     train: epoch 53 loss 0.572539  auc  0.7626  rmse  0.1149  df(ActivateDay.Avg) 0.0421
               valid loss 16.179403  auc  0.7703  rmse  0.1140  df(ActivateDay.Avg) 0.1098
     train: epoch 54 loss 0.572442  auc  0.7634  rmse  0.1149  df(ActivateDay.Avg) 0.0421
               valid loss 15.770601  auc  0.7719  rmse  0.1145  df(ActivateDay.Avg) 0.1762
     train: epoch 55 loss 0.572900  auc  0.7624  rmse  0.1150  df(ActivateDay.Avg) 0.0430
               valid loss 16.587278  auc  0.7701  rmse  0.1141  df(ActivateDay.Avg) 0.0524
     train: epoch 56 loss 0.571225  auc  0.7637  rmse  0.1148  df(ActivateDay.Avg) 0.0449
               valid loss 17.413062  auc  0.7714  rmse  0.1142  df(ActivateDay.Avg) 0.0740
     train: epoch 57 loss 0.571751  auc  0.7643  rmse  0.1149  df(ActivateDay.Avg) 0.0431
               valid loss 16.769450  auc  0.7695  rmse  0.1139  df(ActivateDay.Avg) 0.0216
